member_car_id,member_id,car_id
1,mem-4764322,1
2,mem-2221918,2
3,mem-9185626,2
4,mem-9238906,3
5,mem-4230876,4
6,mem-4114012,4
7,mem-7758431,4
8,mem-9715334,5
9,mem-3122499,6
10,mem-2426507,6
11,mem-3580873,7
12,mem-2027330,8
13,mem-4344480,8
14,mem-1988561,9
15,mem-4097319,10
16,mem-5674753,11
17,mem-4796329,12
18,mem-1353047,13
19,mem-7833095,14
20,mem-7442928,15
21,mem-3565334,16
22,mem-2311238,17
23,mem-1391067,18
24,mem-1462013,19
25,mem-1243151,19
26,mem-7251531,20
27,mem-4344480,2
28,mem-7251531,19
